"prompt_index","prompt","model_name","difficulty","category","tech_stack","module_tags"
"1","为老旧小区改造系统添加改造立项模块，包含项目名称、地址、预算、状态等字段，支持CRUD操作","GLM-5.1","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","改造立项,项目管理"
"1","为老旧小区改造系统添加改造立项模块，包含项目名称、地址、预算、状态等字段，支持CRUD操作","Qwen3.6-Plus","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","改造立项,项目管理"
"1","为老旧小区改造系统添加改造立项模块，包含项目名称、地址、预算、状态等字段，支持CRUD操作","MinMax-M2.7","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","改造立项,项目管理"
"1","为老旧小区改造系统添加改造立项模块，包含项目名称、地址、预算、状态等字段，支持CRUD操作","GLM-5.1","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","改造立项,项目管理"
"1","为老旧小区改造系统添加改造立项模块，包含项目名称、地址、预算、状态等字段，支持CRUD操作","Qwen3.6-Plus","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","改造立项,项目管理"
"2","修复住户征询模块中征询状态更新后页面未刷新的问题，检查Thymeleaf模板缓存和Service层事务管理","GLM-5.1","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","住户征询,状态管理"
"2","修复住户征询模块中征询状态更新后页面未刷新的问题，检查Thymeleaf模板缓存和Service层事务管理","Qwen3.6-Plus","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","住户征询,状态管理"
"2","修复住户征询模块中征询状态更新后页面未刷新的问题，检查Thymeleaf模板缓存和Service层事务管理","MinMax-M2.7","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","住户征询,状态管理"
"2","修复住户征询模块中征询状态更新后页面未刷新的问题，检查Thymeleaf模板缓存和Service层事务管理","GLM-5.1","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","住户征询,状态管理"
"2","修复住户征询模块中征询状态更新后页面未刷新的问题，检查Thymeleaf模板缓存和Service层事务管理","Qwen3.6-Plus","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","住户征询,状态管理"
"3","重构施工节点模块，将硬编码的状态流转逻辑改为基于状态机模式的实现，支持自定义施工流程配置","MinMax-M2.7","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","施工节点,状态机"
"3","重构施工节点模块，将硬编码的状态流转逻辑改为基于状态机模式的实现，支持自定义施工流程配置","GLM-5.1","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","施工节点,状态机"
"3","重构施工节点模块，将硬编码的状态流转逻辑改为基于状态机模式的实现，支持自定义施工流程配置","Qwen3.6-Plus","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","施工节点,状态机"
"3","重构施工节点模块，将硬编码的状态流转逻辑改为基于状态机模式的实现，支持自定义施工流程配置","MinMax-M2.7","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","施工节点,状态机"
"3","重构施工节点模块，将硬编码的状态流转逻辑改为基于状态机模式的实现，支持自定义施工流程配置","GLM-5.1","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","施工节点,状态机"
"4","为材料验收模块添加批量验收功能，支持一次性提交多个材料的验收结果，并生成验收汇总报告","Qwen3.6-Plus","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","材料验收,批量操作"
"4","为材料验收模块添加批量验收功能，支持一次性提交多个材料的验收结果，并生成验收汇总报告","MinMax-M2.7","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","材料验收,批量操作"
"4","为材料验收模块添加批量验收功能，支持一次性提交多个材料的验收结果，并生成验收汇总报告","GLM-5.1","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","材料验收,批量操作"
"4","为材料验收模块添加批量验收功能，支持一次性提交多个材料的验收结果，并生成验收汇总报告","Qwen3.6-Plus","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","材料验收,批量操作"
"4","为材料验收模块添加批量验收功能，支持一次性提交多个材料的验收结果，并生成验收汇总报告","MinMax-M2.7","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","材料验收,批量操作"
